2021-09-08 10:17:00,777 DEBUG SqlStatementLogger:144 - [X-Request-ID=25c80ffb-edf5-42a6-8937-fa92db965139] select user0_.id as id1_1_, user0_.department_id as departme2_1_, user0_.email as email3_1_, user0_.first_name as first_na4_1_, user0_.last_name as last_nam5_1_ from user_service user0_ where user0_.id=?
2021-09-08 10:17:05,583 DEBUG SqlStatementLogger:144 - [X-Request-ID=6ccd44d4-0d28-4a20-8774-5edbdb6612d0] select user0_.id as id1_1_, user0_.department_id as departme2_1_, user0_.email as email3_1_, user0_.first_name as first_na4_1_, user0_.last_name as last_nam5_1_ from user_service user0_ where user0_.id=?
2021-09-08 10:17:15,434 DEBUG SqlStatementLogger:144 - [X-Request-ID=0fc1dfc6-8b42-46ce-9e10-1351f15d1ae8] select user0_.id as id1_1_, user0_.department_id as departme2_1_, user0_.email as email3_1_, user0_.first_name as first_na4_1_, user0_.last_name as last_nam5_1_ from user_service user0_ where user0_.id=?
2021-09-08 13:36:08,006 DEBUG SqlStatementLogger:144 - [] select user0_.id as id1_1_, user0_.department_id as departme2_1_, user0_.email as email3_1_, user0_.first_name as first_na4_1_, user0_.last_name as last_nam5_1_ from user_service user0_ where user0_.id=?
2021-09-08 13:36:10,216 DEBUG SqlStatementLogger:144 - [] select user0_.id as id1_1_, user0_.department_id as departme2_1_, user0_.email as email3_1_, user0_.first_name as first_na4_1_, user0_.last_name as last_nam5_1_ from user_service user0_ where user0_.id=?
2021-09-08 13:36:40,115 DEBUG SqlStatementLogger:144 - [] select user0_.id as id1_1_, user0_.department_id as departme2_1_, user0_.email as email3_1_, user0_.first_name as first_na4_1_, user0_.last_name as last_nam5_1_ from user_service user0_ where user0_.id=?
2021-09-08 13:36:40,201 DEBUG SqlStatementLogger:144 - [] delete from user_service where id=?
2021-09-08 13:37:08,532 DEBUG SqlStatementLogger:144 - [] select user0_.id as id1_1_, user0_.department_id as departme2_1_, user0_.email as email3_1_, user0_.first_name as first_na4_1_, user0_.last_name as last_nam5_1_ from user_service user0_ where user0_.id=?
2021-09-08 13:37:10,500 DEBUG SqlStatementLogger:144 - [] select user0_.id as id1_1_, user0_.department_id as departme2_1_, user0_.email as email3_1_, user0_.first_name as first_na4_1_, user0_.last_name as last_nam5_1_ from user_service user0_ where user0_.id=?
2021-09-08 13:37:26,179 DEBUG SqlStatementLogger:144 - [] select user0_.id as id1_1_, user0_.department_id as departme2_1_, user0_.email as email3_1_, user0_.first_name as first_na4_1_, user0_.last_name as last_nam5_1_ from user_service user0_ where user0_.id=?
2021-09-08 13:38:52,976 DEBUG SqlStatementLogger:144 - [] select user0_.id as id1_1_, user0_.department_id as departme2_1_, user0_.email as email3_1_, user0_.first_name as first_na4_1_, user0_.last_name as last_nam5_1_ from user_service user0_ where user0_.id=?
